,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
48,52112134,"['sulfate (12)', 'Sulfate (2)']",-,-,-,-,-,-,-,-,['zinc (1)'],-,-,-,-,-,-,['ammonium (1)'],-,-,"['sulfide (6)', 'Sulfide (1)']",['methane (31)'],-,-,-,-,['acetate (1)'],-,-,-,-,-,-,-
49,52131258,['sulfate (47)'],-,-,"['chloride (10)', 'Chloride (2)']",-,-,-,-,['iron (1)'],-,-,-,-,-,-,-,-,-,['nitrate (2)'],"['sulfide (23)', 'Sulfide (3)']","['methane (38)', 'Methane (2)']",-,-,-,-,['acetate (2)'],-,-,-,-,['nitrogen (1)'],['hydrogen (2)'],-
50,195185567,"['sulfate (24)', 'Sulfate (1)']",['sodium (2)'],"['potassium (6)', 'Potassium (1)']","['chloride (19)', 'Chloride (1)']",-,-,-,-,-,-,-,-,"['Lithium (2)', 'lithium (6)']","['boron (6)', 'Boron (2)']",-,-,-,['nitrite (1)'],-,['sulfide (1)'],"['methane (42)', 'Methane (5)']",-,-,-,-,['acetate (1)'],['formate (1)'],-,-,-,['nitrogen (2)'],['hydrogen (1)'],-
51,206164693,-,['sodium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (1)'],-,-,['nitrate (4)'],-,-,-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],-
52,206723511,['sulfate (7)'],['sodium (1)'],-,['chloride (5)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,-,-
53,207696802,-,-,-,-,"['carbonate (2)', 'Carbonate (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (2)'],-,-,-,-,-,-,-,-,-,-,-,-
54,208279838,['sulfate (7)'],-,-,"['chloride (1)', 'Chloride (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,['nitrate (1)'],['sulfide (3)'],"['Methane (3)', 'methane (23)', 'CH4 (5)']",-,-,-,-,-,-,-,-,-,-,-,-
55,210195508,['sulfate (8)'],['sodium (6)'],['potassium (4)'],['chloride (8)'],['carbonate (2)'],['magnesium (5)'],['calcium (3)'],-,-,-,-,-,"['lithium (6)', 'Lithium (1)']",['boron (7)'],-,-,-,-,-,-,['methane (24)'],-,-,-,-,-,-,-,-,-,['nitrogen (1)'],"['hydrogen (6)', 'Hydrogen (1)']",-
56,210914727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,"['phenanthrene (1)', 'pyrene (1)']",-,-,-,['hydrogen (2)'],['Helium (1)']
57,214827724,"['sulfate (5)', 'Sulfate (1)']",['sodium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (38)', 'Methane (1)']",-,-,-,-,['acetate (2)'],-,-,-,-,-,-,['He (2)']
58,214917229,['sulfate (22)'],['sodium (1)'],-,"['chloride (2)', 'Chloride (1)']",-,-,-,-,"['iron (11)', 'Fe(III (3)', 'Fe(II (1)']",-,-,-,-,-,"['manganese (4)', 'Mn(II (1)', 'Mn(IV (1)']",-,['ammonium (1)'],['nitrite (2)'],['nitrate (11)'],['sulfide (1)'],"['methane (62)', 'Methane (4)']",-,-,-,-,['acetate (6)'],['formate (1)'],-,-,-,['nitrogen (8)'],['hydrogen (1)'],['He (1)']
59,214924177,['sulfate (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (6)'],-,['nitrite (2)'],"['Nitrate (1)', 'nitrate (2)']",-,['methane (5)'],-,-,-,-,-,-,-,-,-,['nitrogen (19)'],['hydrogen (2)'],-
60,215035312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (11)', 'CH4 (15)', 'Methane (1)']",-,-,-,-,['acetate (3)'],['formate (2)'],-,-,['CO2 (1)'],-,['hydrogen (2)'],-
61,215076876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (6)'],-,-,-,-,-,-,-,-,['CO2 (3)'],-,-,['He (1)']
62,215124414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['ammonium (1)'],['nitrite (2)'],-,['sulfide (1)'],['methane (1)'],-,-,-,-,-,-,-,-,-,"['nitrogen (3)', 'N2 (1)']",['Hydrogen (1)'],-
63,215213250,-,"['sodium (3)', 'Sodium (1)']",['potassium (1)'],['chloride (1)'],['carbonate (1)'],-,-,-,"['iron (3)', 'Iron (1)']",-,-,-,-,-,-,"['Phosphate (1)', 'phosphate (3)']",-,['nitrite (1)'],"['Nitrate (1)', 'nitrate (2)']",-,['methane (1)'],-,-,-,-,-,-,-,-,-,['nitrogen (1)'],['hydrogen (1)'],-
64,215265781,"['sulfate (24)', 'Sulfate (1)']",['sodium (2)'],"['potassium (6)', 'Potassium (1)']","['chloride (19)', 'Chloride (1)']",-,-,-,-,-,-,-,-,"['Lithium (2)', 'lithium (6)']","['boron (6)', 'Boron (2)']",-,-,-,['nitrite (1)'],-,['sulfide (1)'],"['methane (42)', 'Methane (5)']",-,-,-,-,['acetate (1)'],['formate (1)'],-,-,-,['nitrogen (2)'],['hydrogen (1)'],-
65,215379686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,['formate (2)'],-,-,-,-,-,-
